,ID,CreditScore,DebtRatio,Assets,Age,NumberOfDependents,NumberOfOpenCreditLinesAndLoans,MonthlyIncome,NumberOfTimesPastDue,EmploymentLength,HomeOwnership,Education,MaritalStatus,YearsAtCurrentAddress,NoPaidPerc,NewLoanApplication,PredNoPago,error,nopago_presta
0,10001,737,0.479046981473649,34979,63,6,12,2904,8,15,Mortgage,High School,Widowed,20,0.15640634,37752.0,0.006509337,0.14989700289141775,0.21321555569775139
1,10002,411,0.4429300904574954,56459,28,7,4,17639,11,4,Rent,High School,Widowed,21,0.15996672,52917.0,0.15485328,0.005113435641021735,0.21899338083367365
2,10003,732,0.5323139674561232,76570,26,5,8,17730,7,10,Rent,High School,Widowed,10,0.0,106380.0,0.004584181,-0.004584181122481823,0.0
3,10004,710,0.295540978309909,86752,51,8,16,7166,16,18,Mortgage,Masters,Widowed,17,0.1505349,35830.0,0.15947719,-0.00894228918323517,0.20379311051154436
4,10005,848,0.2483777846419732,102286,29,4,8,4688,16,1,Own,High School,Widowed,26,0.0,32816.0,0.13210514,-0.13210514187812805,0.0
5,10006,828,0.3431732780464748,72326,66,9,7,4809,13,27,Mortgage,High School,Divorced,9,0.16704217,57708.0,0.16753718,-0.0004950125695037944,0.23062211384698786
6,10007,433,0.6888419576261036,117902,43,8,0,17240,15,13,Mortgage,Masters,Divorced,3,0.15873079,103440.0,0.16344184,-0.004711046833953847,0.21698215782793226
7,10008,624,0.0079853559775933,152049,34,5,7,12710,9,2,Rent,High School,Widowed,14,0.0,139810.0,0.002503199,-0.0025031990371644497,0.0
8,10009,685,0.0912461864297545,110153,65,7,7,10950,4,28,Rent,Masters,Divorced,1,0.15073611,229950.0,0.17622204,-0.0254859312492752,0.2041138549997691
9,10010,502,0.1230414873907888,156750,49,6,5,13097,3,7,Own,High School,Divorced,16,0.16858912,248843.0,0.19539395,-0.026804829747085562,0.2331909440492286
10,10011,460,0.0303563361865748,60207,41,4,4,10571,6,7,Mortgage,Masters,Widowed,16,0.0,73997.0,0.0028709283,-0.0028709282632917166,0.0
11,10012,556,0.4605760533573664,25140,55,5,6,13563,18,15,Rent,Masters,Widowed,1,0.16753012,94941.0,0.1681794,-0.0006492728146362259,0.23143136181695848
12,10013,844,0.5121728304538827,87135,87,9,1,9882,3,13,Rent,High School,Widowed,8,0.0,138348.0,0.0023049563,-0.002304956316947937,0.0
13,10014,743,0.098325106333344,173959,49,7,19,8299,7,0,Mortgage,High School,Widowed,24,0.0,149382.0,0.0045446292,-0.0045446292497217655,0.0
14,10015,342,0.0269260794125715,63666,87,9,9,19378,8,25,Mortgage,High School,Widowed,28,0.1641382,174402.0,0.16035898,0.0037792197019577145,0.2258255252243852
15,10016,587,0.5051635442564755,34557,67,8,8,13530,0,0,Mortgage,High School,Widowed,18,0.15841617,40590.0,0.0048872214,0.15352894861893177,0.2164711214805541
16,10017,810,0.3566282070162758,54762,81,8,19,3896,5,1,Rent,Bachelor,Widowed,5,0.16684337,27272.0,0.0065021063,0.16034126367988705,0.23029268278162773
17,10018,302,0.1142218851480243,168242,38,8,18,9034,9,13,Rent,Masters,Widowed,6,0.0,63238.0,0.009203054,-0.009203054010868073,0.0
18,10019,561,0.6969307757468237,148137,27,8,12,12686,6,9,Rent,Bachelor,Widowed,5,0.16969493,215662.0,0.16341925,0.0062756833264160095,0.23503309392052738
19,10020,377,0.5278148223627023,166517,28,7,0,7252,10,2,Own,High School,Divorced,1,0.0,101528.0,0.16092251,-0.16092251241207123,0.0
