ID,int_rc,NoPaiFull,NoPaidLoan,NewLoanApplication,monto_cobrar,acepta,pagado
10001,0.3,0.15640634,0.2132155556977513,37752.0,54740.4,0,46178.654385864
10002,0.21,0.15996672,0.2189933808336736,52917.0,71967.1,1,60454.759065088
10003,0.18,0.0,0.0,106380.0,141485.4,0,141485.4
10004,0.21,0.1505349,0.2037931105115443,35830.0,48728.8,1,41393.41496488
10005,0.21,0.0,0.0,32816.0,44629.8,0,44629.8
10006,0.3,0.16704217,0.2306221138469878,57708.0,83676.6,0,69699.079157778
10007,0.3,0.15873079,0.2169821578279322,103440.0,149988.0,0,126180.28626948
10008,0.18,0.0,0.0,139810.0,185947.3,0,185947.3
10009,0.3,0.15073611,0.2041138549997691,229950.0,333427.5,0,283167.935682975
10010,0.3,0.16858912,0.2331909440492286,248843.0,360822.4,0,299991.669107712
10011,0.18,0.0,0.0,73997.0,98416.0,0,98416.0
10012,0.25,0.16753012,0.2314313618169584,94941.0,132917.4,1,110649.73202791199
10013,0.18,0.0,0.0,138348.0,184002.8,0,184002.8
10014,0.18,0.0,0.0,149382.0,198678.1,0,198678.1
10015,0.21,0.1641382,0.2258255252243852,174402.0,237186.7,1,198255.30199806
10016,0.21,0.15841617,0.2164711214805541,40590.0,55202.4,1,46457.447217192006
10017,0.21,0.16684337,0.2302926827816277,27272.0,37089.9,1,30901.696091037
10018,0.18,0.0,0.0,63238.0,84106.5,0,84106.5
10019,0.3,0.16969493,0.2350330939205273,215662.0,312709.9,0,259644.615409193
10020,0.3,0.0,0.0,101528.0,147215.6,0,147215.6
10021,0.25,0.16069987,0.2201892313539852,120790.0,169106.0,1,141930.68778378
10022,0.25,0.0,0.0,202147.0,283005.8,0,283005.8
10023,0.25,0.15052204,0.2037726158310216,267212.0,374096.8,1,317786.986506528
10024,0.25,0.0,0.0,306755.0,429457.0,0,429457.0
10025,0.18,0.0,0.0,101448.0,134925.8,0,134925.8
10026,0.3,0.16030647,0.2195472918553987,89369.0,129585.0,0,108811.68608505001
10027,0.21,0.1545075,0.2101539930868694,137224.0,186624.6,1,157789.6996155
10028,0.3,0.16636494,0.2295005214871842,53210.0,77154.5,0,64318.696236769996
10029,0.3,0.1605433,0.2199336725765606,87180.0,126411.0,0,106116.5609037
10030,0.3,0.0,0.0,241757.0,350547.6,0,350547.6
10031,0.21,0.15500307,0.2109516900848385,111198.0,151229.3,1,127788.29422604898
10032,0.3,0.1618892,0.2221336128826881,72308.0,104846.6,0,87873.06780327999
10033,0.3,0.16898656,0.2338524681381807,173040.0,250908.0,0,208507.92020351999
10034,0.3,0.16410574,0.2257720982555855,12570.0,18226.5,0,15235.42672989
10035,0.3,0.16699931,0.2305510773346417,133980.0,194271.0,0,161827.87704699
10036,0.25,0.16731185,0.2310692514358466,54560.0,76384.0,1,63604.0516496
10037,0.25,0.0,0.0,136788.0,191503.2,0,191503.2
10038,0.18,0.15016669,0.2032065482347356,129150.0,171769.5,1,145975.44274204498
10039,0.3,0.16537605,0.2278660437434127,133654.0,193798.3,0,161748.702649285
10040,0.18,0.0,0.0,50104.0,66638.3,0,66638.3
10041,0.18,0.0,0.0,178392.0,237261.4,0,237261.4
10042,0.21,0.0,0.0,108770.0,147927.2,0,147927.2
10043,0.21,0.0,0.0,41820.0,56875.2,0,56875.2
10044,0.18,0.0,0.0,212805.0,283030.6,0,283030.6
10045,0.3,0.16466957,0.2267007147099862,221782.0,321583.9,0,268628.817468077
10046,0.18,0.0,0.0,39330.0,52308.9,0,52308.9
10047,0.21,0.16752638,0.2314251555502743,34749.0,47258.6,1,39341.537818132
10048,0.3,0.1532981,0.2082111956994546,56187.0,81471.2,0,68981.81983528
10049,0.25,0.16665582,0.2299820381537915,95088.0,133123.2,1,110937.44394297601
10050,0.18,0.0,0.0,78622.0,104567.3,0,104567.3
10051,0.21,0.0,0.0,28610.0,38909.6,0,38909.6
10052,0.21,0.0,0.0,24044.0,32699.8,0,32699.8
10053,0.21,0.15450637,0.2101521752446556,41130.0,55936.8,1,47294.208082584
10054,0.3,0.15871607,0.2169582396516237,97332.0,141131.4,0,118731.578838402
10055,0.3,0.0,0.0,243690.0,353350.5,0,353350.5
10056,0.21,0.16457865,0.2265508865675983,306486.0,416821.0,1,348221.16252835
10057,0.18,0.0,0.0,53442.0,71077.9,0,71077.9
10058,0.21,0.16454378,0.2264934325343823,306138.0,416347.7,1,347840.275647694
10059,0.18,0.0,0.0,30210.0,40179.3,0,40179.3
10060,0.18,0.0,0.0,74600.0,99218.0,0,99218.0
10061,0.3,0.15876754,0.2170418756784541,101370.0,146986.5,0,123649.81498179
10062,0.18,0.0,0.0,201456.0,267936.5,0,267936.5
10063,0.18,0.0,0.0,76884.0,102255.7,0,102255.7
10064,0.25,0.0,0.0,384321.0,538049.4,0,538049.4
10065,0.3,0.16513474,0.2274677844422465,80992.0,117438.4,0,98045.24034998399
10066,0.25,0.16664553,0.2299649985677762,228492.0,319888.8,1,266580.761382936
10067,0.18,0.0,0.0,68814.0,91522.6,0,91522.6
10068,0.25,0.16706279,0.2306562922071881,178020.0,249228.0,1,207591.27497388
10069,0.21,0.15175907,0.2057468866775858,136185.0,185211.6,1,157104.059830788
10070,0.21,0.0,0.0,106850.0,145316.0,0,145316.0
10071,0.3,0.16395622,0.225526051996942,149424.0,216664.8,0,181141.258384944
10072,0.21,0.0,0.0,89448.0,121649.3,0,121649.3
10073,0.25,0.1595319,0.2182851258721179,258818.0,362345.2,1,304539.58178812003
10074,0.18,0.0,0.0,42270.0,56219.1,0,56219.1
10075,0.25,0.1554267,0.2116343306140508,42240.0,59136.0,1,49944.6866688
10076,0.25,0.16759685,0.2315421049283631,96590.0,135226.0,1,112562.5483619
10077,0.3,0.15731004,0.2146774669060967,77450.0,112302.5,0,94636.1892329
